Season,Price,Stamps Sold,Revenue,Cumulative Revenue
1934.00,1.00,635001.00,635001.00,635001.00
1935.00,1.00,448204.00,448204.00,1083205.00
1936.00,1.00,603623.00,603623.00,1686828.00
1937.00,1.00,783039.00,783039.00,2469867.00
1938.00,1.00,1002715.00,1002715.00,3472582.00
1939.00,1.00,1111561.00,1111561.00,4584143.00
1940.00,1.00,1260810.00,1260810.00,5844953.00
1941.00,1.00,1439967.00,1439967.00,7284920.00
1942.00,1.00,1383629.00,1383629.00,8668549.00
1943.00,1.00,1169352.00,1169352.00,9837901.00
1944.00,1.00,1487029.00,1487029.00,11324930.00
1945.00,1.00,1725505.00,1725505.00,13050435.00
1946.00,1.00,2016841.00,2016841.00,15067276.00
1947.00,1.00,1722677.00,1722677.00,16789953.00
1948.00,1.00,2127603.00,2127603.00,18917556.00
1949.00,2.00,1954734.00,3909468.00,22827024.00
1950.00,2.00,1903644.00,3807288.00,26634312.00
1951.00,2.00,2167767.00,4335534.00,30969846.00
1952.00,2.00,2296628.00,4593256.00,35563102.00
1953.00,2.00,2268446.00,4536892.00,40099994.00
1954.00,2.00,2184550.00,4369100.00,44469094.00
1955.00,2.00,2369940.00,4739880.00,49208974.00
1956.00,2.00,2332014.00,4664028.00,53873002.00
1957.00,2.00,2355190.00,4710380.00,58583382.00
1958.00,2.00,2176425.00,4352850.00,62936232.00
1959.00,3.00,1626115.00,4878345.00,67814577.00
1960.00,3.00,1725634.00,5176902.00,72991479.00
1961.00,3.00,1344236.00,4032708.00,77024187.00
1962.00,3.00,1147212.00,3441636.00,80465823.00
1963.00,3.00,1448191.00,4344573.00,84810396.00
1964.00,3.00,1573155.00,4719465.00,89529861.00
1965.00,3.00,1558197.00,4674591.00,94204452.00
1966.00,3.00,1805341.00,5416023.00,99620475.00
1967.00,3.00,1934697.00,5804091.00,105424566.00
1968.00,3.00,1837139.00,5511417.00,110935983.00
1969.00,3.00,2072108.00,6216324.00,117152307.00
1970.00,3.00,2420244.00,7260732.00,124413039.00
1971.00,3.00,2445977.00,7337931.00,131750970.00
1972.00,5.00,2184343.00,10921715.00,142672685.00
1973.00,5.00,2094414.00,10472070.00,153144755.00
1974.00,5.00,2214056.00,11070280.00,164215035.00
1975.00,5.00,2237126.00,11185630.00,175400665.00
1976.00,5.00,2170194.00,10850970.00,186251635.00
1977.00,5.00,2196774.00,10983870.00,197235505.00
1978.00,5.00,2216421.00,11082105.00,208317610.00
1979.00,7.50,2090155.00,15676162.50,223993772.50
1980.00,7.50,2045114.00,15338355.00,239332127.50
1981.00,7.50,1907120.00,14303400.00,253635527.50
1982.00,7.50,1926253.00,14446897.50,268082425.00
1983.00,7.50,1867998.00,14009985.00,282092410.00
1984.00,7.50,1913861.00,14353957.50,296446367.50
1985.00,7.50,1780636.00,13354770.00,309801137.50
1986.00,7.50,1794484.00,13458630.00,323259767.50
1987.00,10.00,1663470.00,16634700.00,339894467.50
1988.00,10.00,1403005.00,14030050.00,353924517.50
1989.00,12.50,1415882.00,17698520.50,371623038.00
1990.00,12.50,1408373.00,17604662.50,389227700.50
1991.00,15.00,1423374.00,21350606.00,410578306.50
1992.00,15.00,1347393.00,20210888.00,430789194.50
1993.00,15.00,1402569.00,21038534.80,451827729.30
1994.00,15.00,1471751.00,22076260.00,473903989.30
1995.00,15.00,1539623.00,23094345.00,496998334.30
1996.00,15.00,1560123.00,23401845.00,520400179.30
1997.00,15.00,1697590.00,25463850.00,545864029.30
1998.00,15.00,1685002.00,25275036.63,571139065.93
1999.00,15.00,1665670.00,24985050.00,596124115.93
2000.00,15.00,1698780.00,25481700.00,621605815.93
2001.00,15.00,1683106.00,25246590.00,646852405.93
2002.00,15.00,1620497.00,24307455.00,671159860.93
2003.00,15.00,1608905.00,24133575.00,695293435.93
2004.00,15.00,1553759.00,23306385.25,718599821.18
2005.00,15.00,1485733.00,22285995.00,740885816.18
2006.00,15.00,1449181.00,21737715.00,762623531.18
2007.00,15.00,1379199.00,20687985.00,783311516.18
2008.00,15.00,1382535.00,20738025.00,804049541.18
2009.00,15.00,1497685.00,22465275.00,826514816.18
2010.00,15.00,1693812.00,25407180.00,851921996.18