Year,Bpop,BpopSE
1955.00,39603.60,1264.00
1956.00,42035.20,1177.30
1957.00,34197.10,1016.60
1958.00,36528.10,1013.60
1959.00,40089.90,1103.60
1960.00,32080.50,876.80
1961.00,29829.00,1009.00
1962.00,25038.90,740.60
1963.00,27609.50,736.60
1964.00,27768.80,827.50
1965.00,25903.10,694.40
1966.00,30574.20,689.50
1967.00,32688.60,796.10
1968.00,28971.20,789.40
1969.00,33760.90,674.60
1970.00,39676.30,1008.10
1971.00,36905.10,821.80
1972.00,40748.00,987.10
1973.00,32573.90,805.30
1974.00,35422.50,819.50
1975.00,37792.80,836.20
1976.00,34342.30,707.80
1977.00,32049.00,743.80
1978.00,35505.60,745.40
1979.00,38622.00,843.40
1980.00,36224.40,737.90
1981.00,32267.30,734.90
1982.00,30784.00,678.80
1983.00,32635.20,725.80
1984.00,31004.90,716.50
1985.00,25638.30,574.90
1986.00,29092.80,609.30
1987.00,27412.10,562.10
1988.00,27361.70,660.80
1989.00,25112.80,555.40
1990.00,25079.20,539.90
1991.00,26605.60,588.70
1992.00,29417.90,605.60
1993.00,26312.40,493.90
1994.00,32523.50,598.20
1995.00,35869.60,629.40
1996.00,37753.00,779.60
1997.00,42556.30,718.90
1998.00,39081.90,652.00
1999.00,43435.80,733.90
2000.00,41838.30,740.20
2001.00,36177.50,633.10
2002.00,31181.10,547.80
2003.00,36225.10,664.70
2004.00,32164.00,579.80
2005.00,31734.90,555.20
2006.00,36160.30,614.40
2007.00,41172.20,724.80
2008.00,37276.50,638.30
2009.00,42004.80,701.90
2010.00,40893.80,718.40
2011.00,45554.30,766.50
2012.00,48575.30,796.80
2013.00,45607.30,749.80
2014.00,49152.20,831.10
2015.00,49521.70,812.10
2016.00,48362.80,827.60
2017.00,47265.60,773.60
2018.00,41193.20,662.10
2019.00,38898.90,658.30